model,mae,mse,rmse,r2,adjusted_r2,mape,evs,max_err,mbd,rse,huber,training_time,prediction_time,y_pred,y_test
RandomForestRegressor,0.01393526405451448,0.004526064735945485,0.06727603388982949,0.9818923777593939,0.9817367471428008,28579060667725.895,0.9818985651877331,1.0,-0.0012436115843270875,0.018107622240606087,0.0022630323679727424,44.72717308998108,0.008999824523925781,[1.  1.  0.7 ... 0.  0.  0. ],"9722     1
1399     1
2184     1
3528     1
2935     0
        ..
11535    1
1660     1
1026     0
4254     0
11281    0
Name: custom_regression_target, Length: 2348, dtype: int32"
RandomForestRegressor,0.023484565386848337,0.004874009651022848,0.06981410782229368,0.9805003395429002,0.9803327446958259,43235436972788.05,0.9805119993309789,0.9412802034923458,0.0017071630266263427,0.0194996604570998,0.002437004825511424,51.79439568519592,1.2318816184997559,"[ 1.01160336  1.02023208  0.67384146 ... -0.01104194 -0.00628016
 -0.00632626]","9722     1
1399     1
2184     1
3528     1
2935     0
        ..
11535    1
1660     1
1026     0
4254     0
11281    0
Name: custom_regression_target, Length: 2348, dtype: int32"
SVR,0.11548280270649026,0.025075595909862844,0.1583527578220943,0.8996789828064553,0.8988167480218094,224175579178661.0,0.8997889858400895,0.8913824146428581,-0.005243629509921735,0.10032101719354473,0.012537797954931422,485535.82091116905,1.55584716796875,"[ 1.05922739  0.89985925  0.7853098  ... -0.01150441 -0.00360482
 -0.01166606]","9722     1
1399     1
2184     1
3528     1
2935     0
        ..
11535    1
1660     1
1026     0
4254     0
11281    0
Name: custom_regression_target, Length: 2348, dtype: int32"
SVR,0.025228272231205107,0.00462278969132357,0.06799110008908203,0.9815054060620348,0.9813464495176604,50788875009028.414,0.9815058220021619,0.8929391446717525,-0.0003224371530245788,0.018494593937965154,0.002311394845661785,79.19755673408508,1.5325047969818115,"[ 1.01429413  1.01628344  0.7737284  ... -0.01951093 -0.00986318
 -0.01357335]","9722     1
1399     1
2184     1
3528     1
2935     0
        ..
11535    1
1660     1
1026     0
4254     0
11281    0
Name: custom_regression_target, Length: 2348, dtype: int32"
MLPRegressor,0.02434976708208352,0.0020334582704338504,0.04509388284938269,0.9918646558652545,0.9917947345576933,62674376626022.48,0.9934294878466142,0.9206290965980433,0.019777141670277422,0.008135344134745464,0.0010167291352169252,122.3812108039856,0.01847052574157715,[1.02435011 1.03230049 1.04823082 ... 0.03479565 0.03157015 0.01755139],"9722     1
1399     1
2184     1
3528     1
2935     0
        ..
11535    1
1660     1
1026     0
4254     0
11281    0
Name: custom_regression_target, Length: 2348, dtype: int32"
MLPRegressor,0.04808443690878608,0.007980373719193936,0.0893329374821736,0.9680725749460944,0.9677981664797953,96576768362511.97,0.96814884885433,0.893271684624272,-0.004366341179245823,0.031927425053905584,0.003990186859596968,89.21616220474243,2.7045271396636963,[1.00131393 0.96305249 0.6606915  ... 0.0660388  0.02772735 0.01916372],"9722     1
1399     1
2184     1
3528     1
2935     0
        ..
11535    1
1660     1
1026     0
4254     0
11281    0
Name: custom_regression_target, Length: 2348, dtype: int32"
